timestamp_x,ask_price,bid_price,binance-futures_ethusdt_liquidation_long,binance-futures_ethusdt_liquidation_short
1609460068912307.2,730.8601369863013,730.7846771037182,51.95,4.234
1609460127950823.8,730.9102295918367,730.8530867346938,0.0,0.0
1609460190415729.0,731.6885849056604,731.622216981132,0.0,0.0
1609460249337548.8,731.3753968253968,731.3042630385487,0.0,0.0
1609460310107379.5,731.5261809045226,731.4680150753769,0.0,0.0
1609460368601741.0,731.9353899082569,731.875,0.0,0.0
1609460430786254.8,730.5083789473683,730.4404421052632,4.891,0.0
1609460488954334.2,730.1194143167028,730.0648156182212,0.0,0.0
1609460548421273.2,730.5129072681705,730.4428571428572,0.0,0.0
1609460607890770.0,731.4559770114942,731.396091954023,0.0,0.0
1609460671066955.5,731.6990000000001,731.6550555555556,0.0,0.0
1609460728346949.2,731.86564171123,731.8367914438503,0.0,0.0
1609460789358523.5,731.4694600938967,731.4171126760564,0.0,0.0
1609460848938990.5,730.8887587822014,730.8447775175645,0.0,0.0
1609460907162496.0,730.5057105943152,730.4645736434107,0.0,0.0
1609460968094064.2,730.8681748071979,730.8263753213369,0.0,0.0
1609461029114559.5,732.1893628808864,732.1425207756233,0.0,0.0
1609461089752024.5,732.4450608272506,732.4137469586375,0.0,0.0
1609461146130903.8,731.7595495495495,731.7306006006006,0.0,0.0
1609461207433325.5,732.0622093023255,732.0245058139535,0.0,0.0
1609461267497794.0,732.1483529411764,732.1234411764706,0.0,0.0
1609461328403878.5,733.4507415730337,733.4188314606741,0.0,0.213
1609461389519649.0,734.0090151515152,733.9683838383838,0.0,0.0
1609461446199126.5,733.5253,733.5012,0.0,0.0
1609461506920485.2,733.5830059523809,733.5602976190477,0.0,0.0
1609461566480241.8,733.4183150183151,733.3919413919414,0.0,0.0
1609461626870221.2,733.6241002949853,733.6003539823008,0.0,0.0
1609461687818759.2,733.5187804878049,733.4944207317072,0.0,0.0
1609461753516322.5,733.4869381107492,733.4686970684039,0.0,0.0
1609461806720368.2,733.4067365269461,733.386736526946,0.0,0.0
1609461866197201.2,733.5258361774744,733.513890784983,0.0,0.0
1609461930694609.5,732.8385390428213,732.8124937027708,0.0,0.0
1609461987040614.2,733.2688714733542,733.251473354232,0.0,0.0
1609462047175913.5,733.8085096153847,733.7887740384615,0.0,0.0
1609462108706303.2,733.9487640449438,733.9155617977528,0.0,0.0
1609462164993149.8,734.0740449438202,734.0526217228464,0.0,0.0
1609462227652241.2,734.3857777777778,734.3519047619047,0.0,0.0
1609462284544409.5,734.360253164557,734.3448101265823,0.0,0.0
1609462348542506.8,734.7344533333332,734.7069333333333,0.0,14.423
1609462409519098.0,734.9464200477327,734.9186873508353,0.0,3.102
1609462466919832.8,734.297652733119,734.2745980707396,0.0,0.0
1609462528492761.5,734.0922727272728,734.07125,0.0,0.0
1609462591310821.5,734.0229230769231,733.9727384615385,0.0,0.0
1609462648675672.2,735.314820295983,735.2774630021141,0.0,0.0
1609462707637617.8,734.7384863523573,734.6936724565757,0.0,0.0
1609462762834750.8,734.2546520146519,734.217216117216,0.0,0.0
1609462829554726.2,734.3587723785167,734.3223529411764,0.0,0.0
